"indexes";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"ppi"
51;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";2.2;44808.0;141
52;"HP";"Notebook";15.6;"medium";1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"windows";1.9;21232.0;141
53;"HP";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"windows";1.5;58768.0;166
54;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"windows";2.4;20460.0;100
55;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";2.1;40908.0;141
56;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"windows";1.9;23390.0;141
57;"Asus";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"windows";2.0;31232.0;100
58;"MSI";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";2.4;130483.0;127
59;"Asus";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"linux";2.0;22111.0;141
60;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.8;69211.0;127
61;"Dell";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.7;46833.0;157
62;"Lenovo";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i3";2.7;8;"SSD";256;0;"Intel";"N/A";1.7;31915.0;157
63;"Asus";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.4;50136.0;157
64;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.9;36763.0;141
65;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"windows";1.8;105654.0;141
66;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";"windows";1.9;23373.0;100
67;"HP";"Notebook";14.0;"medium";1366;768;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;"Intel";"windows";1.4;12201.0;112
68;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.9;29251.0;141
69;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";"linux";3.0;50563.0;127
70;"Microsoft";"Ultrabook";13.5;"small";2256;1504;1;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"windows";1.3;58022.0;201
71;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;64;"SSD";256;0;"AMD";"windows";1.4;50882.0;166
72;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";2.2;46354.0;141
73;"MSI";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.7;58342.0;127
74;"Acer";"Notebook";14.0;"medium";1366;768;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"windows";2.1;20726.0;112
75;"Asus";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";2.2;50563.0;141
76;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"N/A";2.2;27652.0;141
77;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";"windows";2.0;45554.0;141
78;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"windows";2.2;28238.0;141
79;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;52055.0;127
80;"Dell";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.9;58403.0;141
81;"Apple";"Ultrabook";12.0;"small";2304;1440;0;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";"macos";0.9;80453.0;226
82;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.6;45821.0;157
83;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";"windows";2.2;21259.0;141
84;"Acer";"Notebook";15.6;"medium";1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.1;21046.0;100
85;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.7;71875.0;141
86;"HP";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";1.8;37243.0;141
87;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";2.0;31914.0;141
88;"Asus";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.2;77203.0;141
89;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.2;87859.0;166
90;"Asus";"Gaming";15.6;"medium";1920;1080;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";"windows";2.5;37243.0;141
91;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";"windows";2.2;36710.0;141
92;"HP";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.5;63776.0;166
93;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";2.7;63670.0;141
94;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.3;55891.0;157
95;"Acer";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.5;45128.0;166
96;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";"linux";2.2;31963.0;141
97;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"linux";2.2;25841.0;141
98;"Asus";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.4;6;"SSD";256;0;"Nvidia";"windows";2.0;30743.0;141
99;"HP";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";"windows";2.6;66547.0;141
100;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"windows";1.9;38308.0;141
101;"HP";"Notebook";15.6;"medium";1920;1080;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"windows";2.1;18595.0;141
102;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";"linux";2.2;34472.0;141
103;"HP";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"windows";1.4;59620.0;166
104;"Microsoft";"Ultrabook";13.5;"small";2256;1504;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.3;71395.0;201
105;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.5;6;"SSD";256;0;"Nvidia";"windows";1.6;35112.0;157
106;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";1.9;22106.0;141
107;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"windows";1.3;63563.0;157
108;"MSI";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.2;69211.0;141
109;"Lenovo";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.6;78854.0;157
110;"Asus";"Ultrabook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";"windows";1.5;67239.0;141
111;"Dell";"Ultrabook";13.3;"small";3200;1800;1;"Intel";"Core i7";2.4;8;"SSD";256;0;"Intel";"windows";1.2;73473.0;276
112;"Lenovo";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.4;74539.0;166
113;"HP";"Notebook";14.0;"medium";1366;768;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.6;38468.0;112
114;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.2;86793.0;166
116;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"windows";1.6;57756.0;157
117;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"Hybrid";256;1024;"Nvidia";"windows";2.2;60224.0;141
118;"Asus";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";"windows";2.0;30050.0;127
119;"Asus";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";1.7;59567.0;141
120;"Acer";"Notebook";15.6;"medium";1920;1080;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"windows";2.1;25521.0;141
121;"MSI";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";1.8;119427.0;141
122;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"N/A";2.2;33513.0;141
123;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"windows";2.5;67719.0;127
124;"Acer";"Notebook";15.6;"medium";1366;768;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";"windows";2.1;24029.0;100
126;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";"windows";1.6;43263.0;157
127;"Asus";"Notebook";14.0;"medium";1366;768;0;"AMD";"E-Series 6110";1.5;4;"SSD";64;0;"AMD";"windows";1.7;14811.0;112
128;"Dell";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.8;74379.0;127
129;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";2.5;49444.0;127
130;"Dell";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";"windows";2.4;34045.0;100
131;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";"windows";2.2;23923.0;141
132;"Acer";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.6;47100.0;157
133;"Acer";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";"windows";7.2;30476.0;141
134;"HP";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Intel";"windows";2.1;31861.0;100
135;"HP";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.6;52641.0;157
136;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"N/A";1.9;13446.0;100
137;"Asus";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";3.0;49977.0;127
138;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";"N/A";2.2;26587.0;141
139;"HP";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"windows";1.3;37243.0;166
140;"Acer";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"windows";3.0;34898.0;127
141;"Lenovo";"Notebook";14.0;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";1.8;59462.0;157
142;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"N/A";2.4;46300.0;141
143;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.3;4;"HDD";500;0;"Intel";"windows";2.1;32075.0;100
144;"HP";"Notebook";15.6;"medium";1366;768;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"windows";1.9;19660.0;100
145;"Asus";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.3;58555.0;157
146;"HP";"Ultrabook";12.5;"small";3840;2160;1;"Intel";"Core M";1.2;8;"SSD";512;0;"Intel";"windows";1.0;107306.0;352
147;"Asus";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"windows";2.0;18328.0;141
149;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.1;23816.0;100
150;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"windows";2.6;66561.0;141
151;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";1024;0;"Nvidia";"windows";2.6;47899.0;141
152;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"windows";1.9;26533.0;100
153;"MSI";"Gaming";17.3;"large";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.8;100699.0;127
154;"HP";"Ultrabook";14.0;"medium";1920;1080;0;"Intel";"Core i5";2.7;4;"SSD";256;0;"Intel";"windows";1.5;57649.0;157
155;"HP";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;6;"SSD";256;0;"AMD";"windows";1.9;32980.0;141
156;"Lenovo";"2 in 1 Convertible";14.0;"medium";1920;1080;1;"Intel";"Core i3";2.4;4;"SSD";256;0;"Intel";"windows";1.7;33513.0;157
157;"Asus";"2 in 1 Convertible";13.3;"small";1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.1;70063.0;166
158;"Dell";"2 in 1 Convertible";15.6;"medium";1920;1080;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.6;55891.0;141
159;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.2;4;"HDD";500;0;"Intel";"windows";2.1;23816.0;100
160;"Asus";"Notebook";15.6;"medium";1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.0;21472.0;100
161;"Acer";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Nvidia";"windows";3.0;42890.0;127
162;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";2.1;38788.0;141
163;"Lenovo";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"Nvidia";"windows";2.5;57489.0;141
164;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"windows";2.1;18541.0;100
165;"MSI";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.4;95851.0;141
166;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"windows";2.1;19368.0;100
167;"Dell";"Gaming";15.6;"medium";1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"windows";2.6;56503.0;141
168;"Acer";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";3.0;45501.0;127
169;"HP";"Notebook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.5;40173.0;166
170;"Huawei";"Ultrabook";13.0;"small";2160;1440;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.1;71875.0;200
171;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";2.5;6;"HDD";2048;0;"AMD";"windows";2.7;37243.0;127
172;"Lenovo";"Notebook";15.6;"medium";1366;768;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;"AMD";"N/A";2.2;16464.0;100
173;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.4;4;"HDD";500;0;"Intel";"windows";5.4;26054.0;100
174;"HP";"Notebook";17.3;"large";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";2.5;49177.0;127
175;"Dell";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Intel";"windows";2.3;24456.0;100
176;"Acer";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"windows";2.1;23923.0;100
177;"MSI";"Gaming";18.4;"large";1920;1080;0;"Intel";"Core i7";2.9;32;"Hybrid";512;1024;"Nvidia";"windows";4.4;149131.0;120
178;"Lenovo";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"AMD";"windows";1.9;43317.0;141
179;"HP";"2 in 1 Convertible";13.3;"small";3840;2160;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.3;79867.0;331
180;"Dell";"Notebook";15.6;"medium";1920;1080;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"linux";2.0;55891.0;141
181;"Dell";"Ultrabook";13.3;"small";1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.2;74539.0;166
182;"Lenovo";"2 in 1 Convertible";13.9;"small";3840;2160;1;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.4;98515.0;317
183;"Toshiba";"Notebook";15.6;"medium";1366;768;0;"Intel";"Core i5";2.5;8;"SSD";128;0;"Intel";"windows";2.0;42251.0;100
